seq,operation,phase,frame,channel,address_offset,write_value,read_mask,expected_value,comparison,EQ,timeout_us,register,description
1,WRITE,setup,,,0x100,0x00000000,,,,,,ENG0_CFG,Park ENG0
2,WRITE,setup,,,0x200,0x00000000,,,,,,ENG1_CFG,Park ENG1
3,WRITE,setup,,,0x148,0x00000101,,,,,,ENG0_TX_FIFO_CTRL,Flush all ENG0 TX FIFOs and set WM=1
4,WRITE,setup,,,0x288,0x00000101,,,,,,ENG1_RX_FIFO_CTRL,Flush all ENG1 RX FIFOs and set WM=1
5,WRITE,setup,,,0x110,0x0000389C,,,,,,ENG0_PINMUX,Straight mapping CH0=LD CH1=O CH2=I
6,WRITE,setup,,,0x210,0x0000389C,,,,,,ENG1_PINMUX,Straight mapping CH0=LD CH1=O CH2=I
7,WRITE,setup,,,0x114,0x00000001,,,,,,ENG0_IN_FILT,Input filter depth 1
8,WRITE,setup,,,0x214,0x00000001,,,,,,ENG1_IN_FILT,Input filter depth 1
9,WRITE,setup,,,0x104,0x000000C7,,,,,,ENG0_CLKDIV_HI,200 PCLK high phase
10,WRITE,setup,,,0x10C,0x000000C7,,,,,,ENG0_CLKDIV_LO,200 PCLK low phase
11,WRITE,setup,,,0x140,0x0000000E,,,,,,ENG0_TX_CTRL,SDR rising-edge launch and idle high
12,WRITE,setup,,,0x200,0x00000099,,,,,,ENG1_CFG,Enable ENG1 in slave mode
13,WRITE,setup,,,0x2BC,0x00000101,,,,,,ENG1_RX_SYNC,One-sample high SLOAD marker
14,WRITE,setup,,,0x280,0x00004009,,,,,,ENG1_RX_CTRL,Enable 64-bit framed RX on falling edge
15,WRITE,preload,0,CH0,0x154,0x00000001,,,,,,ENG0_TXDATA0,Framing word bits 31:0
16,WRITE,preload,0,CH0,0x158,0x00000000,,,,,,ENG0_TXDATA1,Framing word bits 63:32
17,WRITE,preload,0,CH0,0x160,0x00000000,,,,,,ENG0_TXPUSH_CH0,Commit framing channel
18,WRITE,preload,0,CH1,0x154,0x00000000,,,,,,ENG0_TXDATA0,DATA0=0 bits 31:0
19,WRITE,preload,0,CH1,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA0=0 bits 63:32
20,WRITE,preload,0,CH1,0x164,0x00000000,,,,,,ENG0_TXPUSH_CH1,Commit DATA0 channel
21,WRITE,preload,0,CH2,0x154,0x00000001,,,,,,ENG0_TXDATA0,DATA1=1 bits 31:0
22,WRITE,preload,0,CH2,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA1=1 bits 63:32
23,WRITE,preload,0,CH2,0x168,0x00000000,,,,,,ENG0_TXPUSH_CH2,Commit DATA1 channel
24,WRITE,preload,0,CTL,0x16C,0x00000040,,,,,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
25,WRITE,preload,1,CH0,0x154,0x00000001,,,,,,ENG0_TXDATA0,Framing word bits 31:0
26,WRITE,preload,1,CH0,0x158,0x00000000,,,,,,ENG0_TXDATA1,Framing word bits 63:32
27,WRITE,preload,1,CH0,0x160,0x00000000,,,,,,ENG0_TXPUSH_CH0,Commit framing channel
28,WRITE,preload,1,CH1,0x154,0x00000002,,,,,,ENG0_TXDATA0,DATA0=2 bits 31:0
29,WRITE,preload,1,CH1,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA0=2 bits 63:32
30,WRITE,preload,1,CH1,0x164,0x00000000,,,,,,ENG0_TXPUSH_CH1,Commit DATA0 channel
31,WRITE,preload,1,CH2,0x154,0x00000003,,,,,,ENG0_TXDATA0,DATA1=3 bits 31:0
32,WRITE,preload,1,CH2,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA1=3 bits 63:32
33,WRITE,preload,1,CH2,0x168,0x00000000,,,,,,ENG0_TXPUSH_CH2,Commit DATA1 channel
34,WRITE,preload,1,CTL,0x16C,0x00000040,,,,,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
35,WRITE,preload,2,CH0,0x154,0x00000001,,,,,,ENG0_TXDATA0,Framing word bits 31:0
36,WRITE,preload,2,CH0,0x158,0x00000000,,,,,,ENG0_TXDATA1,Framing word bits 63:32
37,WRITE,preload,2,CH0,0x160,0x00000000,,,,,,ENG0_TXPUSH_CH0,Commit framing channel
38,WRITE,preload,2,CH1,0x154,0x00000004,,,,,,ENG0_TXDATA0,DATA0=4 bits 31:0
39,WRITE,preload,2,CH1,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA0=4 bits 63:32
40,WRITE,preload,2,CH1,0x164,0x00000000,,,,,,ENG0_TXPUSH_CH1,Commit DATA0 channel
41,WRITE,preload,2,CH2,0x154,0x00000005,,,,,,ENG0_TXDATA0,DATA1=5 bits 31:0
42,WRITE,preload,2,CH2,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA1=5 bits 63:32
43,WRITE,preload,2,CH2,0x168,0x00000000,,,,,,ENG0_TXPUSH_CH2,Commit DATA1 channel
44,WRITE,preload,2,CTL,0x16C,0x00000040,,,,,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
45,WRITE,preload,3,CH0,0x154,0x00000001,,,,,,ENG0_TXDATA0,Framing word bits 31:0
46,WRITE,preload,3,CH0,0x158,0x00000000,,,,,,ENG0_TXDATA1,Framing word bits 63:32
47,WRITE,preload,3,CH0,0x160,0x00000000,,,,,,ENG0_TXPUSH_CH0,Commit framing channel
48,WRITE,preload,3,CH1,0x154,0x00000006,,,,,,ENG0_TXDATA0,DATA0=6 bits 31:0
49,WRITE,preload,3,CH1,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA0=6 bits 63:32
50,WRITE,preload,3,CH1,0x164,0x00000000,,,,,,ENG0_TXPUSH_CH1,Commit DATA0 channel
51,WRITE,preload,3,CH2,0x154,0x00000007,,,,,,ENG0_TXDATA0,DATA1=7 bits 31:0
52,WRITE,preload,3,CH2,0x158,0x00000000,,,,,,ENG0_TXDATA1,DATA1=7 bits 63:32
53,WRITE,preload,3,CH2,0x168,0x00000000,,,,,,ENG0_TXPUSH_CH2,Commit DATA1 channel
54,WRITE,preload,3,CTL,0x16C,0x00000040,,,,,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
55,WRITE,start,,,0x100,0x00000091,,,,,,ENG0_CFG,Enable ENG0 before START
56,WRITE,start,,,0x100,0x00000093,,,,,,ENG0_CFG,Pulse START while ENG0 is enabled
57,POLL,tx_wait,4,,0x150,,0x00000F00,0x00000000,masked_eq,1,100,ENG0_TX_FIFO_FLAGS,Wait until FULL[3:0] is zero before writing a complete frame
58,WRITE,refill,4,CH0,0x154,0x00000001,,,,0,,ENG0_TXDATA0,Framing word bits 31:0
59,WRITE,refill,4,CH0,0x158,0x00000000,,,,0,,ENG0_TXDATA1,Framing word bits 63:32
60,WRITE,refill,4,CH0,0x160,0x00000000,,,,0,,ENG0_TXPUSH_CH0,Commit framing channel
61,WRITE,refill,4,CH1,0x154,0x00000008,,,,0,,ENG0_TXDATA0,DATA0=8 bits 31:0
62,WRITE,refill,4,CH1,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA0=8 bits 63:32
63,WRITE,refill,4,CH1,0x164,0x00000000,,,,0,,ENG0_TXPUSH_CH1,Commit DATA0 channel
64,WRITE,refill,4,CH2,0x154,0x00000009,,,,0,,ENG0_TXDATA0,DATA1=9 bits 31:0
65,WRITE,refill,4,CH2,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA1=9 bits 63:32
66,WRITE,refill,4,CH2,0x168,0x00000000,,,,0,,ENG0_TXPUSH_CH2,Commit DATA1 channel
67,WRITE,refill,4,CTL,0x16C,0x00000040,,,,0,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
68,POLL,tx_wait,5,,0x150,,0x00000F00,0x00000000,masked_eq,1,100,ENG0_TX_FIFO_FLAGS,Wait until FULL[3:0] is zero before writing a complete frame
69,WRITE,refill,5,CH0,0x154,0x00000001,,,,0,,ENG0_TXDATA0,Framing word bits 31:0
70,WRITE,refill,5,CH0,0x158,0x00000000,,,,0,,ENG0_TXDATA1,Framing word bits 63:32
71,WRITE,refill,5,CH0,0x160,0x00000000,,,,0,,ENG0_TXPUSH_CH0,Commit framing channel
72,WRITE,refill,5,CH1,0x154,0x0000000A,,,,0,,ENG0_TXDATA0,DATA0=10 bits 31:0
73,WRITE,refill,5,CH1,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA0=10 bits 63:32
74,WRITE,refill,5,CH1,0x164,0x00000000,,,,0,,ENG0_TXPUSH_CH1,Commit DATA0 channel
75,WRITE,refill,5,CH2,0x154,0x0000000B,,,,0,,ENG0_TXDATA0,DATA1=11 bits 31:0
76,WRITE,refill,5,CH2,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA1=11 bits 63:32
77,WRITE,refill,5,CH2,0x168,0x00000000,,,,0,,ENG0_TXPUSH_CH2,Commit DATA1 channel
78,WRITE,refill,5,CTL,0x16C,0x00000040,,,,0,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
79,POLL,tx_wait,6,,0x150,,0x00000F00,0x00000000,masked_eq,1,100,ENG0_TX_FIFO_FLAGS,Wait until FULL[3:0] is zero before writing a complete frame
80,WRITE,refill,6,CH0,0x154,0x00000001,,,,0,,ENG0_TXDATA0,Framing word bits 31:0
81,WRITE,refill,6,CH0,0x158,0x00000000,,,,0,,ENG0_TXDATA1,Framing word bits 63:32
82,WRITE,refill,6,CH0,0x160,0x00000000,,,,0,,ENG0_TXPUSH_CH0,Commit framing channel
83,WRITE,refill,6,CH1,0x154,0x0000000C,,,,0,,ENG0_TXDATA0,DATA0=12 bits 31:0
84,WRITE,refill,6,CH1,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA0=12 bits 63:32
85,WRITE,refill,6,CH1,0x164,0x00000000,,,,0,,ENG0_TXPUSH_CH1,Commit DATA0 channel
86,WRITE,refill,6,CH2,0x154,0x0000000D,,,,0,,ENG0_TXDATA0,DATA1=13 bits 31:0
87,WRITE,refill,6,CH2,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA1=13 bits 63:32
88,WRITE,refill,6,CH2,0x168,0x00000000,,,,0,,ENG0_TXPUSH_CH2,Commit DATA1 channel
89,WRITE,refill,6,CTL,0x16C,0x00000040,,,,0,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
90,POLL,tx_wait,7,,0x150,,0x00000F00,0x00000000,masked_eq,1,100,ENG0_TX_FIFO_FLAGS,Wait until FULL[3:0] is zero before writing a complete frame
91,WRITE,refill,7,CH0,0x154,0x00000001,,,,0,,ENG0_TXDATA0,Framing word bits 31:0
92,WRITE,refill,7,CH0,0x158,0x00000000,,,,0,,ENG0_TXDATA1,Framing word bits 63:32
93,WRITE,refill,7,CH0,0x160,0x00000000,,,,0,,ENG0_TXPUSH_CH0,Commit framing channel
94,WRITE,refill,7,CH1,0x154,0x0000000E,,,,0,,ENG0_TXDATA0,DATA0=14 bits 31:0
95,WRITE,refill,7,CH1,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA0=14 bits 63:32
96,WRITE,refill,7,CH1,0x164,0x00000000,,,,0,,ENG0_TXPUSH_CH1,Commit DATA0 channel
