seq,operation,phase,address_offset,register,write_value,redundant_from_reset,read_mask,compare,read_expect,description
1,WRITE,A_park_and_flush,0x100,ENG0_CFG,0x00000000,,,,,ENG0_CFG           park the transmitter
2,WRITE,A_park_and_flush,0x200,ENG1_CFG,0x00000000,,,,,ENG1_CFG           park the receiver
3,WRITE,A_park_and_flush,0x148,ENG0_TX_FIFO_CTRL,0x00000101,,,,,"ENG0_TX_FIFO_CTRL  FLUSH all 4 TX FIFOs, WM=1"
4,WRITE,A_park_and_flush,0x290,ENG1_RX_CTRL,0x00000000,,,,,ENG1_RX_CTRL       capture off for now
5,WRITE,A_park_and_flush,0x298,ENG1_RX_FIFO_CTRL,0x00000101,,,,,"ENG1_RX_FIFO_CTRL  FLUSH all 3 RX FIFOs, WM=1"
6,WRITE,B_static_configuration,0x104,ENG0_CLKDIV_HI,0x000000c7,,,,,ENG0_CLKDIV_HI     199 -> 200 pclk high
7,WRITE,B_static_configuration,0x10c,ENG0_CLKDIV_LO,0x000000c7,,,,,"ENG0_CLKDIV_LO     199 -> 200 pclk low, 400 total = 1 MHz"
8,WRITE,C_eng1_becomes_a_slave,0x200,ENG1_CFG,0x00000099,,,,,ENG1_CFG           TRI_IDLE|CK_IDLE|MODE=slave|EN
9,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
10,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,yes,,,,ENG0_TXDATA1     ch0 bits 63:32
11,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
12,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000000,,,,,ENG0_TXDATA0     ch1 bits 31:0
13,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch1 bits 63:32
14,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
15,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000008,,,,,ENG0_TXDATA0     ch2 bits 31:0
16,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000008,,,,,ENG0_TXDATA1     ch2 bits 63:32
17,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
18,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
19,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
20,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
21,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
22,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch1 bits 31:0
23,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000001,,,,,ENG0_TXDATA1     ch1 bits 63:32
24,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
25,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000009,,,,,ENG0_TXDATA0     ch2 bits 31:0
26,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000009,,,,,ENG0_TXDATA1     ch2 bits 63:32
27,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
28,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
29,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
30,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
31,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
32,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000002,,,,,ENG0_TXDATA0     ch1 bits 31:0
33,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000002,,,,,ENG0_TXDATA1     ch1 bits 63:32
34,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
35,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000a,,,,,ENG0_TXDATA0     ch2 bits 31:0
